id,regionParent,regionChild,nx,ny,midLandCode,midTempCode,,,,,
1,서울특별시,"종로구, 중구",60,127,1,11,"서울,인천,경기도",서울,,,
2,서울특별시,용산구,60,126,1,11,"서울,인천,경기도",서울,,,
3,서울특별시,"성동구, 성북구, 동대문구",61,127,1,11,"서울,인천,경기도",서울,,,
4,서울특별시,광진구,62,126,1,11,"서울,인천,경기도",서울,,,
5,서울특별시,중랑구,62,128,1,11,"서울,인천,경기도",서울,,,
6,서울특별시,강북구,61,128,1,11,"서울,인천,경기도",서울,,,
7,서울특별시,"도봉구, 노원구",61,129,1,11,"서울,인천,경기도",서울,,,
8,서울특별시,"은평구, 서대문구, 마포구",59,127,1,11,"서울,인천,경기도",서울,,,
9,서울특별시,"양천구, 강서구, 영등포구",58,126,1,11,"서울,인천,경기도",서울,,,
10,서울특별시,구로구,58,125,1,11,"서울,인천,경기도",서울,,,
11,서울특별시,금천구,59,124,1,11,"서울,인천,경기도",서울,,,
12,서울특별시,"동작구, 관악구",59,125,1,11,"서울,인천,경기도",서울,,,
13,서울특별시,서초구,61,125,1,11,"서울,인천,경기도",서울,,,
14,서울특별시,강남구,61,126,1,11,"서울,인천,경기도",서울,,,
15,서울특별시,"송파구, 강동구",62,126,1,11,"서울,인천,경기도",서울,,,
16,부산광역시,"중구, 서구",97,74,7,71,"부산, 울산, 경상남도",부산,,,
17,부산광역시,서구,97,74,7,71,"부산, 울산, 경상남도",부산,,,
18,부산광역시,동구,98,75,7,71,"부산, 울산, 경상남도",부산,,,
19,부산광역시,영도구,98,74,7,71,"부산, 울산, 경상남도",부산,,,
20,부산광역시,부산진구,97,75,7,71,"부산, 울산, 경상남도",부산,,,
21,부산광역시,동래구,98,76,7,71,"부산, 울산, 경상남도",부산,,,
22,부산광역시,남구,98,75,7,71,"부산, 울산, 경상남도",부산,,,
23,부산광역시,북구,96,76,7,71,"부산, 울산, 경상남도",부산,,,
24,부산광역시,해운대구,99,75,7,71,"부산, 울산, 경상남도",부산,,,
25,부산광역시,사하구,96,74,7,71,"부산, 울산, 경상남도",부산,,,
26,부산광역시,금정구,98,77,7,71,"부산, 울산, 경상남도",부산,,,
27,부산광역시,강서구,96,76,7,71,"부산, 울산, 경상남도",부산,,,
28,부산광역시,연제구,98,76,7,71,"부산, 울산, 경상남도",부산,,,
29,부산광역시,수영구,99,75,7,71,"부산, 울산, 경상남도",부산,,,
30,부산광역시,사상구,96,75,7,71,"부산, 울산, 경상남도",부산,,,
31,부산광역시,기장군,100,77,7,71,"부산, 울산, 경상남도",부산,,,
32,대구광역시,수성구,89,90,6,61,"대구, 경상북도",대구,,,
33,대구광역시,달서구,88,90,6,61,"대구, 경상북도",대구,,,
34,대구광역시,달성군,86,88,6,61,"대구, 경상북도",대구,,,
35,인천광역시,미추홀구,54,124,1,12,"서울,인천,경기도",인천,,,
36,인천광역시,연수구,55,123,1,12,"서울,인천,경기도",인천,,,
37,인천광역시,남동구,56,124,1,12,"서울,인천,경기도",인천,,,
38,인천광역시,부평구,55,125,1,12,"서울,인천,경기도",인천,,,
39,인천광역시,계양구,56,126,1,12,"서울,인천,경기도",인천,,,
40,인천광역시,강화군,51,130,1,12,"서울,인천,경기도",인천,,,
41,인천광역시,옹진군,54,124,1,12,"서울,인천,경기도",인천,,,
42,광주광역시,광산구,57,74,5,51,"광주, 전라남도",광주,,,
43,대전광역시,유성구,67,101,3,31,"대전, 세종, 충청남도",대전,,,
44,대전광역시,대덕구,68,100,3,31,"대전, 세종, 충청남도",대전,,,
45,울산광역시,울주군,101,84,7,72,"부산, 울산, 경상남도",울산,,,
46,세종특별자치시,세종특별자치시,66,103,3,32,"대전, 세종, 충청남도",세종,,,
47,경기도,수원시장안구,60,121,1,14,"서울,인천,경기도",수원,,,서울
48,경기도,수원시권선구,60,120,1,14,"서울,인천,경기도",수원,,,인천
49,경기도,수원시팔달구,61,121,1,14,"서울,인천,경기도",수원,,,파주
50,경기도,수원시영통구,61,120,1,14,"서울,인천,경기도",수원,,,수원
51,경기도,"성남시수정구, 중원구",63,124,1,14,"서울,인천,경기도",수원,,,이천
52,경기도,성남시중원구,63,124,1,14,"서울,인천,경기도",수원,,,
53,경기도,성남시분당구,62,123,1,14,"서울,인천,경기도",수원,,,
54,경기도,의정부시,61,130,1,11,"서울,인천,경기도",서울,,,
55,경기도,"안양시만안구, 동안구",59,123,1,11,"서울,인천,경기도",서울,,,
56,경기도,부천시,56,125,1,12,"서울,인천,경기도",인천,,,
57,경기도,광명시,58,125,1,11,"서울,인천,경기도",서울,,,
58,경기도,평택시,62,114,1,14,"서울,인천,경기도",수원,,,
59,경기도,동두천시,61,134,1,13,"서울,인천,경기도",파주,,,
60,경기도,안산시상록구,58,121,1,14,"서울,인천,경기도",수원,,,
61,경기도,안산시단원구,57,121,1,14,"서울,인천,경기도",수원,,,
62,경기도,고양시덕양구,57,128,1,13,"서울,인천,경기도",파주,,,
63,경기도,고양시일산동구,56,129,1,13,"서울,인천,경기도",파주,,,
64,경기도,고양시일산서구,56,129,1,13,"서울,인천,경기도",파주,,,
65,경기도,과천시,60,124,1,14,"서울,인천,경기도",수원,,,
66,경기도,구리시,62,127,1,11,"서울,인천,경기도",서울,,,
67,경기도,남양주시,64,128,1,11,"서울,인천,경기도",서울,,,
68,경기도,오산시,62,118,1,14,"서울,인천,경기도",수원,,,
69,경기도,시흥시,57,123,1,14,"서울,인천,경기도",수원,,,
70,경기도,군포시,59,122,1,14,"서울,인천,경기도",수원,,,
71,경기도,의왕시,60,122,1,14,"서울,인천,경기도",수원,,,
72,경기도,하남시,64,126,1,15,"서울,인천,경기도",이천,,,
73,경기도,용인시처인구,64,119,1,15,"서울,인천,경기도",이천,,,
74,경기도,용인시기흥구,62,120,1,15,"서울,인천,경기도",이천,,,
75,경기도,용인시수지구,62,121,1,15,"서울,인천,경기도",이천,,,
76,경기도,파주시,56,131,1,13,"서울,인천,경기도",파주,,,
77,경기도,이천시,68,121,1,15,"서울,인천,경기도",이천,,,
78,경기도,안성시,65,115,1,14,"서울,인천,경기도",수원,,,
79,경기도,김포시,55,128,1,12,"서울,인천,경기도",인천,,,
80,경기도,화성시,57,119,1,14,"서울,인천,경기도",수원,,,
81,경기도,광주시,65,123,1,12,"서울,인천,경기도",이천,,,
